run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
h2-loss5,3,pass+pass+pass,exact+exact+exact,451441.0,477810.1,3,,,0,3,1.003251,,,0,451441.29353233834,477810.24855853186,3
h3-late-join-30s,3,pass+pass+pass,good+good+good,6642785.0,6642785.0,3,,,0,3,2.763369,0.9843,0.9843,3,6642785.382059801,6642785.382059801,3
h3-loss5,3,pass+pass+pass,exact+exact+exact,603924.0,704697.8999999999,3,,,0,3,1.003251,,,0,603924.7920133112,704698.0413315085,3
imquic-pin-d16,3,pass+pass+pass,mismatch+mismatch+mismatch,2181.0,2184.6,3,30.17,30.17,3,3,0.012182,,,0,2181.2422667656524,2185.1363764410085,3
imquic-pin-d18,3,pass+pass+pass,mismatch+mismatch+mismatch,2051.0,2138.3,3,12.301,12.300999999999998,3,3,0.011576,,,0,2051.123315027459,2138.8317523714427,3
moq-late-join-30s,3,fail+fail+fail,mismatch+mismatch+mismatch,9415181.0,11533597.4,3,8.7175,8.7175,3,3,3.994746,1.0,1.0,1,2353641.693811075,6569840.0135369515,3
moq-loss5,3,fail+pass+fail,mismatch+good+mismatch,2338560.0,2352271.5,3,11.0536,11.0536,3,3,0.998687,,,0,2338407.7669902914,2352118.3011289965,3
moxygen-bw5,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,,,0,3,0.0,,,0,,,0
moxygen-loss1,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,,,0,3,0.0,,,0,,,0
