run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
fanout-imquic-3sub,1,pass,mismatch,8388.0,8388.0,1,67.178,67.178,1,1,0.201211,0.9992,0.9992,1,8388.03088803089,8388.03088803089,1
fanout-mixed-moqrs-imquic,1,fail,mismatch,42857.0,42857.0,1,35.7461,35.7461,1,1,0.997796,,,0,550.1740427647936,550.1740427647936,1
fanout-moqrs-2sub,1,pass,mismatch,271881.0,271881.0,1,34.9352,34.9352,1,1,0.997796,,,0,271184.858044164,271184.858044164,1
fanout-moqrs-3sub,1,pass,mismatch,243464.0,243464.0,1,10.0491,10.0491,1,1,0.997796,,,0,242840.6779661017,242840.6779661017,1
fanout-moqrs-3sub-loss1pct,1,pass,mismatch,42144.0,42144.0,1,134.6271,134.6271,1,1,0.997796,,,0,37846.454767726165,37846.454767726165,1
fanout-moqrs-late-join-5s,1,pass,mismatch,40904.0,40904.0,1,33.1237,33.1237,1,1,0.997796,,,0,36769.625059326056,36769.625059326056,1
fanout-moxygen-3sub,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
fanout-moxygen-late-join-5s,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
