run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
lldash-h2-basic-clean,1,pass,exact,986301.0,986301.0,1,,,0,1,1.003251,,,0,986301.0869565217,986301.0869565217,1
lldash-h2-chain,1,pass,exact,1207849.0,1207849.0,1,,,0,1,1.003251,,,0,1207849.5840266224,1207849.5840266224,1
lldash-h2-fanout-3,1,pass,exact,3623548.0,3623548.0,1,,,0,1,3.009752,1.0,1.0,1,3623548.752079867,3623548.752079867,1
lldash-h2-late-join-5s,1,pass,good,7179186.0,7179186.0,1,,,0,1,2.976587,0.9998,0.9998,1,7179186.666666667,7179186.666666667,1
lldash-h3-basic-clean,1,pass,exact,1035545.0,1035545.0,1,,,0,1,1.003251,,,0,1035545.7917261056,1035545.7917261056,1
lldash-h3-chain,1,pass,exact,877772.0,877772.0,1,,,0,1,1.003251,,,0,877772.1886336155,877772.1886336155,1
lldash-h3-fanout-3,1,pass,exact,2718792.0,2718792.0,1,,,0,1,3.009752,1.0,1.0,1,2718792.509363296,2718792.509363296,1
lldash-h3-late-join-5s,1,pass,good,7179186.0,7179186.0,1,,,0,1,2.976587,0.9998,0.9998,1,7179186.666666667,7179186.666666667,1
