run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
fanout-h3-5sub,1,pass,exact,915376.0,915376.0,1,,,0,1,5.033805,1.0,1.0,1,915376.8421052631,915376.8421052631,1
fanout-moqrs-5sub,1,pass,mismatch,856156.0,856156.0,1,11.4411,11.4411,1,1,2.993387,,,0,284654.3046357616,284654.3046357616,1
fanout-moqrs-5sub-loss1pct,1,pass,mismatch,847735.0,847735.0,1,48.593,48.593,1,1,2.993387,,,0,281854.4262295082,281854.4262295082,1
fanout-moqrs-8sub,1,pass,mismatch,859000.0,859000.0,1,47.1989,47.1989,1,1,2.993387,,,0,285600.0,285600.0,1
