run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
bufferbloat-q10,1,pass,good,286333.0,286333.0,1,10.2679,10.2679,1,1,0.997796,,,0,285600.0,285600.0,1
bufferbloat-q1000,1,pass,good,285385.0,285385.0,1,9.6064,9.6064,1,1,0.997796,,,0,284654.3046357616,284654.3046357616,1
bufferbloat-q200,1,pass,good,284443.0,284443.0,1,106.2543,106.2543,1,1,0.997796,,,0,283714.85148514854,283714.85148514854,1
bufferbloat-q50,1,pass,good,284443.0,284443.0,1,37.0275,37.0275,1,1,0.997796,,,0,283714.85148514854,283714.85148514854,1
