run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
moqrs-self-d14,1,partial,mismatch,6089.0,6089.0,1,51.6388,51.6388,1,1,0.106668,,,0,5943.688037012557,5943.688037012557,1
moqrs-self-d16,1,partial,mismatch,6113.0,6113.0,1,53.7365,53.7365,1,1,0.106668,,,0,5967.352355673524,5967.352355673524,1
moqrs-self-d18,1,pass,good,55743.0,55743.0,1,62.6341,62.6341,1,1,0.996826,,,0,55343.046357615895,55343.046357615895,1
moqrs-self-d18-loss1pct,1,pass,good,55376.0,55376.0,1,30.1603,30.1603,1,1,0.996826,,,0,54978.94736842105,54978.94736842105,1
moqrs-self-d18-loss5pct,1,pass,good,55559.0,55559.0,1,36.926,36.926,1,1,0.996826,,,0,55160.39603960396,55160.39603960396,1
