run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
h2-loss5,1,pass,exact,473218.0,473218.0,1,,,0,1,1.003251,,,0,473218.77444589307,473218.77444589307,1
h3-late-join-30s,1,pass,good,6388109.0,6388109.0,1,,,0,1,2.763369,0.9843,0.9843,1,6388109.9041533545,6388109.9041533545,1
h3-loss5,1,pass,exact,425508.0,425508.0,1,,,0,1,1.003251,,,0,425508.5580304807,425508.5580304807,1
imquic-pin-d16,1,pass,mismatch,2079.0,2079.0,1,12.938,12.938,1,1,0.011647,,,0,2079.249938317296,2079.249938317296,1
imquic-pin-d18,1,pass,mismatch,2132.0,2132.0,1,31.109,31.109,1,1,0.011891,,,0,2132.342007434944,2132.342007434944,1
moq-late-join-30s,1,fail,mismatch,2338560.0,2338560.0,1,8.7175,8.7175,1,1,0.998687,,,0,2338407.7669902914,2338407.7669902914,1
moq-loss5,1,fail,mismatch,2353795.0,2353795.0,1,11.0536,11.0536,1,1,0.998687,,,0,2314347.8827361567,2314347.8827361567,1
moxygen-bw5,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-loss1,1,fail,None,0.0,0.0,1,,,0,1,0.0,,,0,,,0
