run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
drop-bw20-loss0-q100,1,fail,mismatch,14758790.0,14758790.0,1,143.7893,143.7893,1,1,0.999967,,,0,14758790.940651346,14758790.940651346,1
drop-bw20-loss0-q1000,1,fail,mismatch,14371527.0,14371527.0,1,280.7714,280.7714,1,1,0.999967,,,0,11903544.365743723,11903544.365743723,1
drop-bw20-loss1-q100,1,partial,mismatch,2818238.0,2818238.0,1,10.8149,10.8149,1,1,0.190568,,,0,696061.6200099387,696061.6200099387,1
drop-bw20-loss1-q1000,1,fail,mismatch,14015059.0,14015059.0,1,17.759,17.759,1,1,0.999967,,,0,8998221.538461538,8998221.538461538,1
drop-bw5-loss0-q100,1,partial,mismatch,2412183.0,2412183.0,1,6.7366,6.7366,1,1,0.162165,,,0,80900.49983338887,80900.49983338887,1
drop-bw5-loss0-q1000,1,partial,mismatch,9343598.0,9343598.0,1,9.0263,9.0263,1,1,0.629089,,,0,126301.24771252704,126301.24771252704,1
drop-bw5-loss1-q100,1,partial,mismatch,8975915.0,8975915.0,1,196.4032,196.4032,1,1,0.605339,,,0,140.57465537286166,140.57465537286166,1
drop-bw5-loss1-q1000,1,partial,mismatch,8761737.0,8761737.0,1,7.9584,7.9584,1,1,0.590698,,,0,140.62136567536137,140.62136567536137,1
